# 1:now_time 2:interval 3:gx 4:gy 5:gz 6:motor_number 7:output
350926624 828 0.975610 0.365854 0.000000 0 1.014885
350927462 838 1.036585 0.426829 0.121951 0 1.014969
350928304 842 0.975610 0.243902 0.182927 0 1.015053
350929116 812 0.792683 0.121951 0.243902 0 1.015134
350929945 829 0.914634 0.182927 0.304878 0 1.015217
350930773 828 1.097561 0.243902 0.121951 0 1.015300
350931605 832 1.036585 0.121951 0.000000 0 1.015383
350932437 832 0.670732 0.304878 -0.060976 0 1.015466
350933267 830 0.670732 0.304878 -0.121951 0 1.015549
350934095 828 0.792683 0.243902 0.060976 0 1.015632
350934926 831 0.853659 0.304878 0.000000 0 1.015715
350935759 833 0.853659 0.304878 -0.060976 0 1.015798
350936588 829 0.853659 0.365854 0.121951 0 1.015881
350937415 827 0.792683 0.304878 0.121951 0 1.015964
350938274 859 0.731707 0.304878 0.000000 0 1.016050
350939077 803 0.670732 0.304878 0.000000 0 1.016130
350939909 832 0.670732 0.243902 0.121951 0 1.016214
350940743 834 0.731707 0.365854 0.121951 0 1.016297
350941568 825 0.731707 0.426829 0.060976 0 1.016379
350942400 832 0.914634 0.304878 -0.060976 0 1.016463
350943233 833 0.975610 0.060976 -0.121951 0 1.016546
350944062 829 0.792683 0.060976 -0.121951 0 1.016629
350944888 826 0.731707 0.182927 -0.060976 0 1.016711
350945723 835 0.853659 0.304878 -0.121951 0 1.016795
350946553 830 0.792683 0.243902 -0.121951 0 1.016878
350947381 828 0.731707 0.243902 -0.060976 0 1.016961
350948378 997 0.853659 0.243902 0.060976 0 1.017060
350949099 721 0.914634 0.182927 0.060976 0 1.017133
350949927 828 0.975610 0.243902 0.121951 0 1.017215
350950758 831 1.036585 0.060976 0.121951 0 1.017298
350951589 831 1.036585 0.182927 0.000000 0 1.017382
350952417 828 0.975610 0.121951 0.000000 0 1.017464
350953252 835 0.975610 0.121951 0.182927 0 1.017548
350954074 822 0.792683 0.121951 0.182927 0 1.017630
350955003 929 0.731707 0.243902 -0.121951 0 1.017723
350955725 722 0.792683 0.060976 -0.304878 0 1.017795
350956551 826 0.792683 0.060976 -0.365854 0 1.017878
350957383 832 0.853659 0.243902 -0.182927 0 1.017961
350958243 860 0.975610 0.304878 0.060976 0 1.018047
350959045 802 1.158537 0.304878 0.000000 0 1.018127
350959873 828 1.036585 0.182927 0.000000 0 1.018210
350960705 832 0.731707 0.121951 -0.182927 0 1.018293
350961535 830 0.609756 0.121951 -0.304878 0 1.018376
350962365 830 0.670732 0.182927 -0.182927 0 1.018459
350963197 832 0.731707 0.182927 -0.182927 0 1.018542
350964025 828 0.792683 0.182927 -0.182927 0 1.018625
350964856 831 0.914634 0.182927 0.000000 0 1.018708
350965687 831 0.731707 0.182927 -0.121951 0 1.018791
350966515 828 0.670732 0.304878 -0.060976 0 1.018874
