#時刻 刻み幅 roll pitch yaw gx gy gz ax ay az mx my mz
3490768225 2000 0.270089 1.531273 173.971069 1.158537 0.548781 0.121951 -0.009766 -0.007324 1.017578 0.000000 0.000000 0.000000
3490770225 2000 0.270160 1.530498 173.970581 0.060976 0.060976 -0.060976 -0.003418 0.004395 1.023438 0.000000 0.000000 0.000000
3490772225 2000 0.270873 1.529826 173.970078 0.731707 0.060976 -0.060976 -0.009277 -0.006836 1.029297 0.000000 0.000000 0.000000
3490774225 2000 0.271389 1.530685 173.968872 0.853659 0.060976 -0.426829 -0.007324 0.004883 1.030273 0.000000 0.000000 0.000000
3490776225 2000 0.271011 1.530925 173.967880 1.463415 -0.060976 -0.304878 -0.001465 -0.011719 1.020996 0.000000 0.000000 0.000000
3490778225 2000 0.270840 1.530682 173.967773 0.487805 0.243902 0.121951 0.001953 0.001465 1.022461 0.000000 0.000000 0.000000
3490780225 2000 0.269543 1.529961 173.966629 1.219512 -0.548781 -0.365854 -0.001953 -0.016113 1.030273 0.000000 0.000000 0.000000
3490782225 2000 0.270284 1.528744 173.966034 0.000000 0.365854 -0.121951 -0.003906 0.001465 1.016113 0.000000 0.000000 0.000000
3490784225 2000 0.269816 1.528436 173.965256 1.219512 -0.487805 -0.182927 -0.008301 -0.012207 1.011230 0.000000 0.000000 0.000000
3490786225 2000 0.271654 1.527597 173.964081 0.487805 0.853659 -0.426829 -0.004883 -0.003906 1.020996 0.000000 0.000000 0.000000
3490788225 2000 0.271310 1.528107 173.963089 1.158537 -0.121951 -0.304878 -0.002930 -0.003906 1.038574 0.000000 0.000000 0.000000
3490790225 2000 0.270981 1.528462 173.961731 1.219512 -0.121951 -0.487805 -0.002930 -0.006348 1.025391 0.000000 0.000000 0.000000
3490792225 2000 0.269720 1.527449 173.961349 0.670732 -0.304878 0.000000 0.001953 -0.008789 1.020508 0.000000 0.000000 0.000000
3490794225 2000 0.269628 1.527873 173.960861 0.792683 0.060976 -0.060976 -0.001953 0.001953 1.027344 0.000000 0.000000 0.000000
3490796225 2000 0.269456 1.526349 173.960388 0.060976 0.182927 -0.060976 0.000977 -0.002441 1.023438 0.000000 0.000000 0.000000
3490798225 2000 0.268883 1.527301 173.959167 0.975610 0.243902 -0.426829 0.005859 0.003418 1.019043 0.000000 0.000000 0.000000
3490800225 2000 0.268009 1.526794 173.958679 0.731707 -0.060976 -0.060976 0.002930 -0.005371 1.022949 0.000000 0.000000 0.000000
3490802225 2000 0.267544 1.526774 173.957703 0.975610 0.243902 -0.304878 0.004883 -0.005371 1.026855 0.000000 0.000000 0.000000
3490804225 2000 0.265920 1.528255 173.956955 1.402439 -0.121951 -0.182927 0.008789 0.000488 1.036133 0.000000 0.000000 0.000000
3490806225 2000 0.265909 1.527256 173.956223 0.243902 -0.121951 -0.182927 -0.005859 -0.000977 1.024414 0.000000 0.000000 0.000000
3490808225 2000 0.265443 1.528064 173.955353 1.585366 0.000000 -0.243902 0.000488 -0.008789 1.011230 0.000000 0.000000 0.000000
3490810225 2000 0.265894 1.526119 173.954636 -0.121951 0.243902 -0.182927 -0.003418 -0.002930 1.025391 0.000000 0.000000 0.000000
