# 1:now_time 2:interval 3:roll 4:pitch 5:yaw 6:rroll 7:rpitch 8:ryaw 9:gx 10:gy 11:gz 12:ax 13:ay 14:az 15:mx 16:my 17:mz 18:R 19:L 20:F 21:B 22:stickRx 23:stickRy 24:stickLx 25:stickLy
1621248077 2000 0.815254 1.698825 64.999069 0.000000 0.000000 0.000000 0.731707 0.548781 0.060976 0.014160 0.064453 1.136230 0.000000 0.000000 0.000000 1.141998 1.105500 1.081230 1.161389 -nan 0.000000 0.000000 0.000000
1621250077 2000 0.817854 1.693586 64.998276 0.000000 0.000000 0.000000 1.585366 0.060976 -0.426829 -0.034668 -0.059570 1.032715 0.000000 0.000000 0.000000 1.137893 1.090093 1.101334 1.160798 -nan 0.000000 0.000000 0.000000
1621252078 2001 0.820272 1.690653 64.997444 0.000000 0.000000 0.000000 0.548781 0.243902 -0.487805 -0.027344 -0.018066 0.951660 0.000000 0.000000 0.000000 1.134701 1.079870 1.112387 1.163159 -nan 0.000000 0.000000 0.000000
1621254078 2000 0.813731 1.695212 64.997826 0.000000 0.000000 0.000000 0.487805 0.182927 0.060976 0.049316 0.048340 1.004883 0.000000 0.000000 0.000000 1.145181 1.107195 1.082821 1.154920 -nan 0.000000 0.000000 0.000000
1621256078 2000 0.805493 1.700216 64.998512 0.000000 0.000000 0.000000 0.426829 -0.731707 0.243902 0.044434 0.049316 0.928223 0.000000 0.000000 0.000000 1.140020 1.123331 1.070558 1.156208 -nan 0.000000 0.000000 0.000000
1621258078 2000 0.810402 1.696434 64.999481 0.000000 0.000000 0.000000 -1.036585 0.975610 0.365854 -0.040039 0.001465 1.052246 0.000000 0.000000 0.000000 1.146683 1.119107 1.077089 1.147238 -nan 0.000000 0.000000 0.000000
1621260078 2000 0.807580 1.697251 65.000389 0.000000 0.000000 0.000000 1.585366 0.304878 0.365854 0.018555 -0.004395 1.015625 0.000000 0.000000 0.000000 1.147248 1.128298 1.067180 1.147391 -nan 0.000000 0.000000 0.000000
1621262078 2000 0.800501 1.691870 65.001236 0.000000 0.000000 0.000000 0.792683 0.243902 0.365854 0.052246 -0.042969 0.950684 0.000000 0.000000 0.000000 1.140198 1.136567 1.068467 1.144884 -nan 0.000000 0.000000 0.000000
1621264078 2000 0.805700 1.695991 65.003059 0.000000 0.000000 0.000000 1.463415 0.426829 0.792683 -0.054199 0.028809 1.073730 0.000000 0.000000 0.000000 1.157092 1.134308 1.061248 1.137469 -nan 0.000000 0.000000 0.000000
1621266078 2000 0.808074 1.700379 65.003838 0.000000 0.000000 0.000000 -0.121951 0.731707 0.243902 -0.019531 0.056152 0.978027 0.000000 0.000000 0.000000 1.147418 1.107396 1.079776 1.155527 -nan 0.000000 0.000000 0.000000
1621268078 2000 0.799804 1.706040 65.005310 0.000000 0.000000 0.000000 -0.914634 1.036585 0.548781 0.073730 0.076660 0.925293 0.000000 0.000000 0.000000 1.144716 1.125952 1.064011 1.155438 -nan 0.000000 0.000000 0.000000
1621270078 2000 0.801636 1.706966 65.006592 0.000000 0.000000 0.000000 -1.036585 1.158537 0.487805 -0.007812 0.043945 1.020996 0.000000 0.000000 0.000000 1.146727 1.120283 1.065564 1.157543 -nan 0.000000 0.000000 0.000000
1621272078 2000 0.806323 1.698811 65.007668 0.000000 0.000000 0.000000 0.792683 0.609756 0.487805 -0.042969 -0.070312 1.008301 0.000000 0.000000 0.000000 1.156314 1.110696 1.067775 1.155332 -nan 0.000000 0.000000 0.000000
1621274078 2000 0.794873 1.698606 65.008179 0.000000 0.000000 0.000000 0.609756 -0.365854 0.182927 0.083984 0.003906 1.010742 0.000000 0.000000 0.000000 1.129431 1.110749 1.084486 1.165450 -nan 0.000000 0.000000 0.000000
1621276078 2000 0.793224 1.698495 65.007828 0.000000 0.000000 0.000000 0.914634 -0.365854 -0.243902 -0.003418 -0.000488 1.029297 0.000000 0.000000 0.000000 1.118940 1.106606 1.095235 1.169336 -nan 0.000000 0.000000 0.000000
