#時刻 刻み幅 roll pitch yaw gx gy gz ax ay az mx my mz R L F B
1634566418 2000 -0.165263 1.825251 172.801544 0.365854 0.731707 -0.365854 0.014160 -0.024902 0.946777 0.000000 0.000000 0.000000 1.200069 1.203639 1.190605 1.252127
1634568418 2000 -0.166148 1.823414 172.800842 0.731707 0.121951 -0.121951 0.012695 -0.011719 0.849121 0.000000 0.000000 0.000000 1.209221 1.210340 1.182781 1.244097
1634570418 2000 -0.148035 1.825637 172.801239 0.914634 0.243902 0.426829 -0.171387 0.020996 1.123535 0.000000 0.000000 0.000000 1.230326 1.223382 1.168860 1.223872
1634572418 2000 -0.155082 1.834725 172.801987 0.670732 0.304878 0.609756 0.065430 0.076172 0.906250 0.000000 0.000000 0.000000 1.237107 1.233674 1.163498 1.212161
1634574418 2000 -0.171092 1.811546 172.800461 -0.243902 0.182927 -0.548781 0.124512 -0.154785 0.808594 0.000000 0.000000 0.000000 1.194409 1.198323 1.215621 1.238087
1634576418 2000 -0.178235 1.804753 172.799652 1.341463 -0.060976 -0.182927 0.061523 -0.062988 0.914062 0.000000 0.000000 0.000000 1.206289 1.213272 1.203393 1.223485
1634578418 2000 -0.176010 1.787668 172.797745 1.890244 -0.060976 -0.731707 -0.016113 -0.179688 1.044922 0.000000 0.000000 0.000000 1.188020 1.193737 1.228564 1.236119
1634580418 2000 -0.171912 1.784037 172.796051 0.731707 -0.243902 -0.609756 -0.032715 -0.028320 0.933594 0.000000 0.000000 0.000000 1.183408 1.194690 1.232769 1.235572
1634582418 2000 -0.171059 1.787020 172.794220 0.365854 0.243902 -0.670732 0.002441 0.038574 1.119141 0.000000 0.000000 0.000000 1.181333 1.189447 1.238838 1.236820
1634584418 2000 -0.174289 1.788476 172.792267 1.097561 -0.060976 -0.731707 0.031738 0.007812 0.964844 0.000000 0.000000 0.000000 1.193629 1.196664 1.219212 1.236935
1634586419 2001 -0.171027 1.802549 172.791397 1.280488 0.060976 -0.182927 -0.025391 0.130859 1.120117 0.000000 0.000000 0.000000 1.219666 1.218507 1.209053 1.243754
