#time h roll pitch yaw R L F B
2146017259 2000 -0.042524 1.656367 -179.523453 1.000000 1.000000 1.000000 1.000000
2146019259 2000 -0.042037 1.656992 -179.524139 1.000000 1.000000 1.000000 1.000000
2146021259 2000 -0.042100 1.658133 -179.525070 1.000000 1.000000 1.000000 1.000000
2146023259 2000 -0.042443 1.657714 -179.525650 1.000000 1.000000 1.000000 1.000000
2146025259 2000 -0.041946 1.657348 -179.526215 1.000000 1.000000 1.000000 1.000000
2146027259 2000 -0.041611 1.657686 -179.527267 1.000000 1.000000 1.000000 1.000000
2146029259 2000 -0.042218 1.657157 -179.528336 1.000000 1.000000 1.000000 1.000000
2146031259 2000 -0.042012 1.656848 -179.529266 1.000000 1.000000 1.000000 1.000000
2146033259 2000 -0.041431 1.657220 -179.530441 1.000000 1.000000 1.000000 1.000000
2146035259 2000 -0.041091 1.657667 -179.531250 1.000000 1.000000 1.000000 1.000000
2146037259 2000 -0.041196 1.657142 -179.532074 1.000000 1.000000 1.000000 1.000000
2146039259 2000 -0.041548 1.657076 -179.532761 1.000000 1.000000 1.000000 1.000000
2146041259 2000 -0.041691 1.657573 -179.533569 1.000000 1.000000 1.000000 1.000000
2146043259 2000 -0.041566 1.657794 -179.534500 1.000000 1.000000 1.000000 1.000000
2146045259 2000 -0.042046 1.657726 -179.535202 1.000000 1.000000 1.000000 1.000000
2146047259 2000 -0.042021 1.657578 -179.535873 1.000000 1.000000 1.000000 1.000000
2146049259 2000 -0.041223 1.657038 -179.536545 1.000000 1.000000 1.000000 1.000000
2146051259 2000 -0.041097 1.657432 -179.537003 1.000000 1.000000 1.000000 1.000000
2146053259 2000 -0.041283 1.657041 -179.537430 1.000000 1.000000 1.000000 1.000000
2146055259 2000 -0.040552 1.657679 -179.538742 1.000000 1.000000 1.000000 1.000000
2146057259 2000 -0.041165 1.656951 -179.539185 1.000000 1.000000 1.000000 1.000000
2146059259 2000 -0.041523 1.656993 -179.540131 1.000000 1.000000 1.000000 1.000000
2146061259 2000 -0.041183 1.656725 -179.540939 1.000000 1.000000 1.000000 1.000000
2146063259 2000 -0.041512 1.656205 -179.541382 1.000000 1.000000 1.000000 1.000000
2146065259 2000 -0.042058 1.656777 -179.541946 1.000000 1.000000 1.000000 1.000000
2146067259 2000 -0.043476 1.655836 -179.542526 1.000000 1.000000 1.000000 1.000000
2146069259 2000 -0.043310 1.656684 -179.542725 1.000000 1.000000 1.000000 1.000000
2146071259 2000 -0.042774 1.657687 -179.543640 1.000000 1.000000 1.000000 1.000000
2146073259 2000 -0.044043 1.658040 -179.544479 1.000000 1.000000 1.000000 1.000000
2146075259 2000 -0.043932 1.657417 -179.544662 1.000000 1.000000 1.000000 1.000000
2146077259 2000 -0.043918 1.657594 -179.545227 1.000000 1.000000 1.000000 1.000000
2146079259 2000 -0.044516 1.657649 -179.545654 1.000000 1.000000 1.000000 1.000000
2146081259 2000 -0.045630 1.657501 -179.546844 1.000000 1.000000 1.000000 1.000000
2146083259 2000 -0.044433 1.657787 -179.547394 1.000000 1.000000 1.000000 1.000000
