#時刻 刻み幅 roll pitch yaw gx gy gz ax ay az mx my mz R L F B
1279102424 2001 0.790838 16.594387 -176.731995 3.780488 3.536586 -0.975610 0.058594 -0.027832 0.412109 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279104425 2001 0.811695 16.710611 -176.726456 1.524390 2.500000 1.524390 -0.407227 2.510254 -1.142090 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279106426 2001 0.835049 16.822830 -176.723022 1.402439 -2.682927 2.012195 -0.530762 1.758789 -0.936523 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279108427 2001 0.833328 16.765007 -176.724899 0.853659 -1.158537 0.060976 -0.022461 -0.390625 1.379395 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279110428 2001 0.831148 16.677486 -176.728592 -3.780488 4.085366 -2.317073 0.359863 -1.932129 3.414551 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279112429 2001 0.810977 16.596952 -176.730331 0.060976 5.609756 -1.768293 0.736816 -1.385254 2.185059 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279114430 2001 0.835190 16.667574 -176.730042 1.524390 0.426829 -0.243902 -0.197266 0.717285 0.539551 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279116431 2001 0.884255 16.770857 -176.726944 0.731707 -1.158537 1.402439 -0.861816 1.528809 -0.695801 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279118431 2000 0.937115 16.866747 -176.728134 0.060976 -5.609756 0.548781 -0.505859 0.711426 -0.222656 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279120432 2001 0.896822 16.812754 -176.733383 -0.487805 -2.195122 -1.402439 0.656250 -0.466797 1.934570 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279122433 2001 0.871854 16.746462 -176.740097 0.670732 0.304878 -2.804878 0.733398 -1.168945 2.883789 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279124440 2007 0.857892 16.681332 -176.744156 2.317073 2.256098 -2.012195 0.241699 -0.573242 1.368652 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
