#time h roll pitch yaw rroll rpitch ryaw gx gy gz ax ay az mx my mz R L F B 
4176320178 2000 0.474056 2.764672 -171.858170 2.672421 2.561070 0.000000 -7.865854 -13.475610 -1.219512 0.314941 -0.634766 0.120117 0.000000 0.000000 0.000000 1.318181 1.460780 1.536788 1.332416
4176322178 2000 0.442811 2.864696 -171.859070 2.672421 2.561070 0.000000 6.036586 -3.841463 -0.609756 0.519043 1.998535 1.448242 0.000000 0.000000 0.000000 1.320199 1.450225 1.475765 1.401976
4176324178 2000 0.465394 2.944729 -171.853363 2.672421 2.561070 0.000000 -5.365854 -0.182927 2.500000 -0.204590 0.806641 0.531738 0.000000 0.000000 0.000000 1.453525 1.560802 1.298529 1.335310
4176326178 2000 0.351193 2.846877 -171.856339 2.672421 2.561070 0.000000 -11.646342 -20.182928 -0.182927 0.954102 -0.997559 -0.448730 0.000000 0.000000 0.000000 1.333748 1.476920 1.464573 1.372925
4176328178 2000 0.264576 2.912892 -171.860229 2.672421 2.561070 0.000000 1.951220 -0.670732 -2.073171 1.308594 0.960937 0.611816 0.000000 0.000000 0.000000 1.258874 1.412769 1.468089 1.508433
4176330178 2000 0.212723 3.003760 -171.858047 2.672421 2.561070 0.000000 -5.000000 0.304878 0.853659 0.386719 0.735352 0.061523 0.000000 0.000000 0.000000 1.377533 1.522160 1.270693 1.477780
4176332178 2000 0.073142 2.951531 -171.857468 2.672421 2.561070 0.000000 -14.451221 -25.609756 1.646342 1.298828 -0.312500 0.995117 0.000000 0.000000 0.000000 1.372848 1.562210 1.314433 1.398674
4176334178 2000 -0.019612 2.994580 -171.861954 2.672421 2.561070 0.000000 0.243902 4.756098 -2.500000 1.259277 0.519043 0.275391 0.000000 0.000000 0.000000 1.193827 1.430256 1.484283 1.539799
4176336178 2000 -0.053632 3.025636 -171.865692 2.672421 2.561070 0.000000 -6.402439 -1.524390 -1.768293 0.158691 0.240234 0.494141 0.000000 0.000000 0.000000 1.258470 1.463174 1.383628 1.542893
4176338178 2000 -0.174404 2.973980 -171.865479 2.672421 2.561070 0.000000 -16.890244 -29.939026 1.646342 1.601562 -0.375488 2.467773 0.000000 0.000000 0.000000 1.372374 1.591953 1.309871 1.373967
4176340178 2000 -0.152540 3.027119 -171.868347 2.672421 2.561070 0.000000 -3.353659 12.926829 -2.012195 0.032715 0.440430 0.651367 0.000000 0.000000 0.000000 1.248200 1.438078 1.463456 1.498432
